Date,Day,Type,Title,Badge,Content
2026-06-10,พุธ,run,Tempo Run + Upper,60-70 min,"🎯 threshold + strength — เพิ่มความเร็ววิ่งและแรงแขน |  | Tempo Run: 30 min @ 6:15-6:45/km | Treadmill: 10.0-10.5 km/h | HR: 155-165 bpm |  | Upper: | Face Pull: 3x15 @ 15kg | Rope Tricep Pushdown: 3x12 @ 25kg | Cable Curl: 3x12 @ 17.5kg"
2026-06-11,พฤหัสบดี,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x10 @ 52.5kg | Leg Press: 4x10 @ 132.5kg | Weighted Step Up: 4x10/leg @ 16kg/hand | Lunges 100m @ 30kg → Run 1km (cramp drill) | Calf Raise: 3x15 @ 75kg | Goblet Squat: 3x12 @ 20kg |  | EMOM 10 min: | Odd min — Wall Balls: 12 @ 9kg | Even min — Lunges: 20m @ 30kg |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-06-12,ศุกร์,run,Intervals + Burpees,55-65 min,"🎯 anti-cramp drill — ฝึกร่างกายไม่ cramp หลัง station |  | Warm-up: 10 min | 6x (400m + 10 burpees) | Rest: 90s | Anti-cramp specific!"
2026-06-13,เสาร์,strength,Hyrox Stations,60-75 min,"🎯 ฝึก Hyrox stations เต็มน้ำหนัก — จับเวลาแต่ละ station |  | Farmer Carry: 5x 200m @ 32kg/hand | Sled Push: 5x30m | Sled Pull: 5x30m | Wall Balls: 75 total @ 9kg (overload — แข่ง 6kg) |  | Core: | Pallof Press: 3x12/side @ 10kg |  | Transition Drill: | Run 400m → Wall Balls 25 @ 9kg → Sled Push 25m → Run 400m"
2026-06-14,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-06-15,จันทร์,run,Long Run,80-95 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 90-105 min | Approaching race distance!"
2026-06-16,อังคาร,strength,Strength - Pull,AM Run + 60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | AM — Zone 2 Run: 30 min @ 7.0 km/h |  | PM: | Seated Row: 4x10 @ 55kg 🔥 MILESTONE! | Lat Pulldown: 4x10 @ 60kg | Back Extension: 3x12 + 20kg |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-06-17,พุธ,run,Zone 2 + Row,60-70 min,"🎯 cardio + strength รวม — ประหยัดเวลา ได้ทั้งวิ่งและเวท |  | Zone 2 Run: 40 min | Row: 3x 1000m @ race pace"
2026-06-18,พฤหัสบดี,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x10 @ 55kg | Leg Press: 4x10 @ 135kg | Weighted Step Up: 4x10/leg @ 16kg/hand | Leg Curl: 4x10 @ 50kg | Calf Raise: 3x15 @ 77.5kg | Goblet Squat: 3x12 @ 22kg |  | EMOM 12 min (rotate): | Min 1 — Wall Balls: 15 @ 9kg | Min 2 — Burpees: 8 BW | Min 3 — Run: 150m |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-06-19,ศุกร์,run,Intervals,55-65 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min | 10x 400m @ sub-2 pace | Treadmill: 10.5-11.0 km/h | Rest: 60s (race simulation!)"
2026-06-20,เสาร์,strength,Hyrox Simulation 50%,75-90 min,"🎯 จำลองแข่ง — ฝึก pacing; transitions; nutrition strategy |  | 50% Hyrox Simulation: | Run 1km → SkiErg: 500m | Run 1km → Sled Push: 2x25m | Run 1km → Burpees: 40 BW | Run 1km → Row: 500m |  | Run 1km → Farmer Carry: 100m @ 24kg/hand | Run 1km → Lunges: 50m @ 30kg | Run 1km → Wall Balls: 50 @ 9kg (overload — แข่ง 6kg) |  | Practice pacing — ห้าม blow up! |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-06-21,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-06-22,จันทร์,run,Long Run,90 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 100 min | Full Hyrox run distance!"
2026-06-23,อังคาร,strength,Strength - Pull,AM Run + 60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | AM — Zone 2 Run: 30 min @ 7.0 km/h |  | PM: | Seated Row: 5x4 @ 65kg 🔥 | Lat Pulldown: 5x4 @ 70kg | Back Extension: 3x10 + 22.5kg |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-06-24,พุธ,run,Zone 2 + SkiErg,60-70 min,"🎯 cardio + strength รวม — ประหยัดเวลา ได้ทั้งวิ่งและเวท |  | Zone 2 Run: 45 min | SkiErg: 1000m time trial"
2026-06-25,พฤหัสบดี,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x8 @ 57.5kg | Leg Press: 4x8 @ 140kg | Weighted Step Up: 4x8/leg @ 18kg/hand MILESTONE! | Wall Balls: 100 total @ 9kg (overload — แข่ง 6kg) | Calf Raise: 3x15 @ 80kg | Goblet Squat: 3x12 @ 22kg |  | EMOM 12 min (rotate): | Min 1 — Run: 200m | Min 2 — Wall Balls: 12 @ 9kg | Min 3 — Burpees: 8 BW |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-06-26,ศุกร์,run,Intervals + Lunges,55-65 min,"🎯 anti-cramp drill — ฝึกร่างกายไม่ cramp หลัง station |  | 6x (400m + Lunges 50m @ 30kg) | Anti-cramp drill | Rest: 90s"
2026-06-27,เสาร์,strength,Hyrox Stations (DELOAD),70-80 min,"🎯 ฝึก Hyrox stations เต็มน้ำหนัก — จับเวลาแต่ละ station |  | Full weight all stations: | Sled Push/Pull: 3x30m | Farmer Carry: 2x200m @ 32kg/hand | Wall Balls: 2x25 @ 9kg (overload — แข่ง 6kg) | Burpees: 2x20 BW |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW |  | Transition Drill: | Run 400m → Burpees 20 → Farmer Carry 100m → Run 400m"
2026-06-28,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-06-29,จันทร์,run,Long Run,90-100 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 100-110 min | Mental prep!"
2026-07-01,พุธ,strength,Strength - Pull,AM Run + 60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | AM — Zone 2 Run: 35 min @ 7.0 km/h |  | PM: | Seated Row: 4x8 @ 60kg 🔥 | Lat Pulldown: 4x8 @ 60kg TARGET! | Back Extension: 3x10 + 25kg TARGET! |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-07-02,พฤหัสบดี,run,Zone 2 + Row,60-70 min,"🎯 cardio + strength รวม — ประหยัดเวลา ได้ทั้งวิ่งและเวท |  | Zone 2 Run: 45 min | Row: 1000m time trial"
2026-07-03,ศุกร์,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x8 @ 60kg TARGET! | Leg Press: 4x8 @ 145kg | Weighted Step Up: 4x8/leg @ 18kg/hand | Lunges 100m @ 30kg → Run 1.5km | Calf Raise: 3x15 @ 82.5kg | Goblet Squat: 3x12 @ 24kg |  | EMOM 12 min (rotate): | Min 1 — Wall Balls: 15 @ 9kg | Min 2 — Lunges: 25m @ 30kg | Min 3 — Run: 200m |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-07-04,เสาร์,run,Intervals,55-65 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min | 8x 800m @ race pace | Treadmill: 10.5-11.0 km/h | Rest: 90s | Big session!"
2026-07-05,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-07-06,จันทร์,run,Long Run,90 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 100 min | Maintain endurance"
2026-07-07,อังคาร,strength,Hyrox Simulation 75%,90-105 min,"🎯 จำลองแข่ง — ฝึก pacing; transitions; nutrition strategy |  | 75% Hyrox Simulation: | Run 1km → SkiErg: 750m | Run 1km → Sled Push: 3x25m | Run 1km → Sled Pull: 3x25m | Run 1km → Burpees: 60 BW | Run 1km → Row: 750m | Run 1km → Farmer Carry: 150m @ 28kg/hand |  | Key focus: | - Transition speed | - Burpee pacing (ไม่เร็วเกิน set แรก) | - Lunges ระวัง cramp | - Electrolytes ทุก 2 stations |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-07-08,พุธ,strength,Strength - Pull PEAK,AM Run + 60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | AM — Zone 2 Run: 35 min @ 7.0 km/h |  | PM: | Seated Row: 5x3 @ 67.5kg 🔥 | Lat Pulldown: 5x3 @ 72.5kg | Nearing targets! |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-07-09,พฤหัสบดี,run,Tempo Run + Upper,60-70 min,"🎯 threshold + strength — เพิ่มความเร็ววิ่งและแรงแขน |  | Tempo Run: 30 min @ 6:00-6:30/km | Treadmill: 10.0-10.5 km/h | HR: 160-170 bpm |  | Upper: | Chest Press: 3x10 @ 55kg | Face Pull: 3x15 @ 15kg | Rope Tricep Pushdown: 3x12 @ 25kg | Cable Curl: 3x12 @ 17.5kg"
2026-07-10,ศุกร์,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x6 @ 62.5kg | Leg Press: 4x6 @ 150kg | Weighted Step Up: 4x6/leg @ 20kg/hand | Wall Balls: 100 total @ 9kg (overload — แข่ง 6kg) — sets of 20-25; จับเวลา; ฝึก pacing | Calf Raise: 3x15 @ 85kg | Goblet Squat: 3x12 @ 24kg |  | EMOM 10 min: | Odd min — Burpees: 10 BW | Even min — Run: 200m |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-07-11,เสาร์,run,Race Pace Run,50-60 min,"🎯 ฝึก race pace — จำร่างกายให้ชินกับความเร็ววันแข่ง |  | 40 min @ sub-7:30/km pace | Treadmill: 10.0 km/h | Practice race running"
2026-07-12,อาทิตย์,rest,REST,Recovery,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | Full rest after simulation | Assess performance"
2026-07-13,จันทร์,mixed,Hyrox Full Simulation,120-150 min,"🎯 จำลองแข่ง — ฝึก pacing; transitions; nutrition strategy |  | FULL HYROX SIMULATION! |  | Run 1km → SkiErg: 1000m | Run 1km → Sled Push: 4x25m | Run 1km → Sled Pull: 4x25m | Run 1km → Burpees: 80 BW | Run 1km → Row: 1000m | Run 1km → Farmer Carry: 200m @ 32kg/hand | Run 1km → Lunges: 100m @ 30kg | Run 1km → Wall Balls: 100 @ 9kg (overload — แข่ง 6kg) |  | Target: Under 2:15 |  | Strategy: | - Electrolytes ทุก 2 stations | - Burpees: sets of 10; pace! | - Lunges: sodium shot ก่อน | - Lap 8: ใจสู้ ไม่ cramp!"
2026-07-14,อังคาร,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-07-15,พุธ,recovery,Recovery + Mobility,30-40 min,"🎯 mobility — ร่างกายยืดหยุ่น ลดความเสี่ยงบาดเจ็บ |  | Walk 20-30 min | Foam Roll | Stretch"
2026-07-16,พฤหัสบดี,run,Easy Zone 2,35-40 min,"🎯 สร้าง aerobic base — หัวใจแข็งแรงขึ้น pace จะเร็วขึ้นเอง |  | Zone 2: 35-40 min | Recovery run"
2026-07-17,ศุกร์,strength,Strength - Pull Maintain,50-60 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | Seated Row: 4x8 @ 55kg | Lat Pulldown: 4x8 @ 60kg | Back Extension: 3x10 + 20kg |  | Core: | Hanging Knee Raise: 3x10 BW |  | Transition Drill: | Run 400m → Wall Balls 25 @ 9kg → Run 400m"
2026-07-18,เสาร์,run,Intervals Light,45-50 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | 6x 400m @ race pace | Rest: 90s | Stay sharp"
2026-07-19,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-07-20,จันทร์,run,Long Run,75-90 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 85-100 min | Maintain base"
2026-07-21,อังคาร,strength,Hyrox Stations Light,50-60 min,"🎯 activation เบาๆ — เตรียมร่างกายก่อนแข่ง |  | All stations at 70%: | Sled Push/Pull: 3x30m | Farmer Carry: 3x100m @ 28kg/hand | Wall Balls: 3x20 @ 9kg (overload — แข่ง 6kg) | Burpees: 3x15 BW | Focus on form and efficiency |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-07-22,พุธ,strength,Strength - Pull (DELOAD),AM Run + 60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | AM — Zone 2 Run: 30 min @ 7.0 km/h |  | PM: | Seated Row: 3x6 @ 50kg 🔥 | Lat Pulldown: 3x6 @ 55kg | Back Extension: 2x8 + 20kg |  | EMOM 10 min: | Odd min — Wall Balls: 12 @ 9kg | Even min — Burpees: 8 BW |  | Core: | Pallof Press: 3x12/side @ 10kg |  | Transition Drill: | Run 400m → Sled Pull 25m → Run 400m"
2026-07-23,พฤหัสบดี,run,Zone 2 + Erg,60-70 min,"🎯 cardio + strength รวม — ประหยัดเวลา ได้ทั้งวิ่งและเวท |  | Zone 2: 40 min | SkiErg: 1000m | Row: 1000m"
2026-07-24,ศุกร์,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x8 @ 60kg | Leg Press: 4x8 @ 145kg | Weighted Step Up: 4x8/leg @ 20kg/hand | Burpees 50 → Run 1km | Calf Raise: 3x15 @ 80kg | Goblet Squat: 3x12 @ 22kg |  | EMOM 12 min (rotate): | Min 1 — Wall Balls: 15 @ 9kg | Min 2 — Lunges: 25m @ 30kg | Min 3 — Run: 200m |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-07-25,เสาร์,run,Intervals,55-65 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | 8x 600m @ race pace | Rest: 75s | Big aerobic session"
2026-07-26,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-07-27,จันทร์,run,Long Run,60-70 min (DELOAD),"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 60-70 min | DELOAD week — volume ลด 40%"
2026-07-28,อังคาร,strength,Hyrox Simulation 80%,100-120 min,"🎯 จำลองแข่ง — ฝึก pacing; transitions; nutrition strategy |  | 80% Hyrox Simulation: |  | Run 1km → SkiErg: 800m | Run 1km → Sled Push: 4x25m | Run 1km → Sled Pull: 4x25m | Run 1km → Burpees: 65 BW | Run 1km → Row: 800m | Run 1km → Farmer Carry: 160m @ 32kg/hand | Run 1km → Lunges: 80m @ 30kg | Run 1km → Wall Balls: 80 @ 9kg (overload — แข่ง 6kg) |  | Target: Strong; controlled | Note weak points for race day |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-08-01,เสาร์,strength,Strength - Pull Taper,50-60 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | Seated Row: 3x8 @ 55kg | Lat Pulldown: 3x8 @ 60kg | Reducing volume; maintain intensity |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-08-02,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-08-03,จันทร์,strength,Light Stations,45-50 min,"🎯 activation เบาๆ — เตรียมร่างกายก่อนแข่ง |  | All Hyrox stations at 60%: | Sled Push/Pull: 2x25m | Farmer Carry: 2x100m @ 24kg/hand | Wall Balls: 2x15 @ 9kg (overload — แข่ง 6kg) | Burpees: 2x10 BW | Technique focus — no fatigue |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-08-04,อังคาร,run,Short Intervals,35-40 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | 5x 300m @ race pace | Rest: 90s | Sharpening"
2026-08-05,พุธ,strength,Light Full Body,40-45 min,"🎯 activation เบาๆ — เตรียมร่างกายก่อนแข่ง |  | Very light — activation only: | Chest Press: 2x8 @ 35kg | Seated Row: 2x8 @ 40kg | Weighted Step Up: 2x8/leg @ 10kg/hand | Foam Roll + Mobility 15 min |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-08-06,พฤหัสบดี,run,Easy Shakeout,25-30 min,"🎯 ฟื้นตัว active — เลือดไหลเวียนช่วยซ่อมกล้ามเนื้อ |  | Easy 25 min | Strides: 4x 50m | Legs feeling good!"
2026-08-07,ศุกร์,run,Zone 2 Easy,35-40 min,"🎯 สร้าง aerobic base — หัวใจแข็งแรงขึ้น pace จะเร็วขึ้นเอง |  | Zone 2: 35-40 min | Legs fresh"
2026-08-08,เสาร์,recovery,Mobility + Activation,30 min,"🎯 mobility — ร่างกายยืดหยุ่น ลดความเสี่ยงบาดเจ็บ |  | Foam Roll | Dynamic Stretch | Light activation | Visualize race!"
2026-08-09,อาทิตย์,rest,REST,Pre-race,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | Complete rest | Prepare nutrition | Electrolytes ready | Pack race bag"
2026-08-10,จันทร์,run,Light Shakeout,20 min,"🎯 ฟื้นตัว active — เลือดไหลเวียนช่วยซ่อมกล้ามเนื้อ |  | Very easy 15-20 min | Strides: 3x 50m | Stay loose"
2026-08-11,อังคาร,rest,REST + Prep,Race Eve,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | Complete rest | Carb load dinner | Magnesium tonight | Visualize sub-2 race! | Sleep 8+ hours"
2026-08-12,พุธ,race,🏆 HYROX RACE — SUB-2 TARGET,SUB-2:00!,"🎯 วันแข่ง — ใช้ทุกอย่างที่ซ้อมมา ไปเต็มที่! |  | HYROX BANGKOK |  | TARGET: SUB-2:00! 🎯 |  | Key strategy: | 1. Electrolytes every 2-3 stations | 2. Burpees: PACE! Don't rush start | 3. Lunges: Controlled; sodium shot ready | 4. Run Lap 8: Stay strong; no cramp! | 5. Wall Balls: Finish STRONG! |  | You've done the work. Trust the training! 💪"
2026-08-13,พฤหัสบดี,rest,REST,Recovery,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | CELEBRATE! 🎉 | Rest and recover | You did it!"
2026-08-14,ศุกร์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-08-15,เสาร์,recovery,Recovery Walk,20-30 min,"🎯 ฟื้นตัวเบา — เลือดไหลเวียน ลด soreness |  | Light walk | Foam Roll | Stretch | Reflect on race!"
2026-08-16,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
